,mal_user,series_title,series_type,series_episodes,my_score,my_status
157,Gugilta,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,9,Completed
158,Gugilta,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,9,Completed
210,Gugilta,No Game No Life,TV,12,9,Completed
238,Gugilta,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,9,Completed
271,Gugilta,Shirobako,TV,24,9,Completed
276,Gugilta,Shokugeki no Souma: San no Sara,TV,12,9,Completed
277,Gugilta,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,12,9,Completed
278,Gugilta,Shokugeki no Souma: Shin no Sara,TV,12,9,Completed
283,Gugilta,Steins;Gate,TV,24,9,Completed
330,Gugilta,Yojouhan Shinwa Taikei,TV,11,9,Completed
337,Gugilta,Zankyou no Terror,TV,11,9,Completed
17,HuhBuhDuh,Boruto: Naruto the Movie,Movie,1,0,Completed
37,HuhBuhDuh,Grisaia: Phantom Trigger The Animation,Movie,2,0,Completed
38,HuhBuhDuh,Grisaia: Phantom Trigger The Animation - Stargazer,Movie,1,0,Completed
52,HuhBuhDuh,Kimi no Na wa.,Movie,1,0,Completed
86,HuhBuhDuh,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,0,Completed
78,HuhBuhDuh,Rikei ga Koi ni Ochita no de Shoumei shitemita.,ONA,12,0,Plan to Watch
13,HuhBuhDuh,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,OVA,1,0,Completed
67,HuhBuhDuh,"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",OVA,1,0,Completed
90,HuhBuhDuh,Shingeki no Kyojin OVA,OVA,3,0,Completed
95,HuhBuhDuh,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,0,Completed
96,HuhBuhDuh,Shingeki no Kyojin: Lost Girls,OVA,3,0,Completed
100,HuhBuhDuh,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,OVA,1,0,Completed
101,HuhBuhDuh,Shinmai Maou no Testament Departures,OVA,1,0,Completed
102,HuhBuhDuh,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,OVA,1,0,Completed
105,HuhBuhDuh,Shokugeki no Souma: Ni no Sara OVA,OVA,2,0,Completed
35,HuhBuhDuh,Grisaia no Meikyuu: Caprice no Mayu 0,Special,1,0,Completed
54,HuhBuhDuh,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",Special,1,0,Completed
85,HuhBuhDuh,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama,Special,5,0,Completed
94,HuhBuhDuh,Shingeki no Kyojin: Ano Hi Kara,Special,1,0,Completed
0,HuhBuhDuh,3D Kanojo: Real Girl,TV,12,0,Completed
1,HuhBuhDuh,3D Kanojo: Real Girl 2nd Season,TV,12,0,Completed
2,HuhBuhDuh,5-toubun no Hanayome,TV,12,0,Completed
3,HuhBuhDuh,Aho Girl,TV,12,0,Completed
6,HuhBuhDuh,Asu no Yoichi!,TV,12,0,Completed
7,HuhBuhDuh,Boku dake ga Inai Machi,TV,12,0,Completed
8,HuhBuhDuh,Boku no Hero Academia,TV,13,0,Completed
9,HuhBuhDuh,Boku no Hero Academia 2nd Season,TV,25,0,Completed
10,HuhBuhDuh,Boku no Hero Academia 3rd Season,TV,25,0,Completed
11,HuhBuhDuh,Boku no Hero Academia 4th Season,TV,25,0,Completed
12,HuhBuhDuh,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,TV,10,0,Completed
14,HuhBuhDuh,Boku wa Tomodachi ga Sukunai,TV,12,0,Completed
15,HuhBuhDuh,Boku wa Tomodachi ga Sukunai Next,TV,12,0,Completed
19,HuhBuhDuh,Charlotte,TV,13,0,Completed
20,HuhBuhDuh,Chobits,TV,26,0,Completed
21,HuhBuhDuh,Citrus,TV,12,0,Completed
